( color, yellow )
( size, sm )
( tool, pen )
( drag,{ x: 159, y: 21.54166 } )
( up, { x: 159, y: 21.54166 } )
( down,{ x: 155, y: 21.54166 } )
( drag,{ x: 154, y: 21.54166 } )
( drag,{ x: 122, y: 56.54166 } )
( drag,{ x: 86, y: 90.54166 } )
( drag,{ x: 60, y: 105.54166 } )
( drag,{ x: 60, y: 100.54166 } )
( drag,{ x: 88, y: 54.54166 } )
( drag,{ x: 126, y: 9.54166 } )
( drag,{ x: 131, y: 1.54166 } )
( drag,{ x: 131, y: 2.54166 } )
( drag,{ x: 115, y: 28.54166 } )
( drag,{ x: 80, y: 86.54166 } )
( drag,{ x: 79, y: 90.54166 } )
( drag,{ x: 91, y: 65.54166 } )
( drag,{ x: 116, y: 33.54166 } )
( drag,{ x: 123, y: 24.54166 } )
( drag,{ x: 124, y: 22.54166 } )
( drag,{ x: 122, y: 26.54166 } )
( drag,{ x: 119, y: 30.54166 } )
( drag,{ x: 119, y: 8.54166 } )
( drag,{ x: 132, y: -18.45834 } )
( drag,{ x: 139, y: -34.45834 } )
( drag,{ x: 139, y: -33.45834 } )
( drag,{ x: 91, y: 41.54166 } )
( drag,{ x: 71, y: 72.54166 } )
( drag,{ x: 64, y: 82.54166 } )
( drag,{ x: 88, y: 49.54166 } )
( drag,{ x: 132, y: 1.54166 } )
( drag,{ x: 155, y: -19.45834 } )
( drag,{ x: 156, y: -18.45834 } )
( drag,{ x: 67, y: 96.54166 } )
( drag,{ x: 16, y: 168.54166 } )
( drag,{ x: -24, y: 249.54166 } )
( drag,{ x: -45, y: 336.54166 } )
( drag,{ x: -49, y: 357.54166 } )
( drag,{ x: -32, y: 340.54166 } )
( drag,{ x: 22, y: 266.54166 } )
( drag,{ x: 44, y: 222.54166 } )
( drag,{ x: 59, y: 186.54166 } )
( drag,{ x: 67, y: 154.54166 } )
( drag,{ x: 68, y: 149.54166 } )
( drag,{ x: 63, y: 166.54166 } )
( drag,{ x: -2, y: 294.54166 } )
( drag,{ x: -30, y: 349.54166 } )
